@relation pacman-data-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C24-L2-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C27-L5

@attribute posx numeric
@attribute posy numeric
@attribute LegalWest {0,1}
@attribute LegalEast {0,1}
@attribute LegalNorth {0,1}
@attribute LegalSouth {0,1}
@attribute GUno {True,False}
@attribute GDos {True,False}
@attribute GTres {True,False}
@attribute GCuatro {True,False}
@attribute posxGUno numeric
@attribute posyGUno numeric
@attribute posxGDos numeric
@attribute posyGDos numeric
@attribute posxGTres numeric
@attribute posyGTres numeric
@attribute posxGCuatro numeric
@attribute posyGCuatro numeric
@attribute distGUno numeric
@attribute distGDos numeric
@attribute distGTres numeric
@attribute distGCuatro numeric
@attribute fantasmaCercano numeric
@attribute movaleatorio {0,1}
@attribute distComida numeric
@attribute score numeric
@attribute class {West,East,South,North,Stop}
@attribute scoreNext numeric

@data
7,8,1,1,1,1,True,False,False,True,6,5,3,1,5,1,14,6,4,0,0,9,0,0,5,-53,West,-54
6,8,1,1,1,1,True,False,False,True,6,5,3,1,5,1,14,6,3,0,0,10,0,0,6,-54,South,-55
8,6,0,1,1,1,True,False,False,True,6,5,3,1,5,1,14,6,3,0,0,6,0,0,2,-62,South,-63
8,5,1,1,1,1,True,False,False,True,6,5,3,1,5,1,14,6,2,0,0,7,0,0,3,-63,West,-64
7,5,1,1,0,1,True,False,False,True,6,5,3,1,5,1,14,6,1,0,0,8,0,0,4,-64,West,135
9,3,1,1,1,0,False,False,False,True,1,1,3,1,5,1,14,6,0,0,0,8,0,0,4,128,West,127
9,3,1,1,1,0,False,False,False,True,1,1,3,1,5,1,14,6,0,0,0,8,0,0,4,120,North,119
9,4,1,1,1,1,False,False,False,True,1,1,3,1,5,1,14,6,0,0,0,7,0,0,3,119,East,118
10,4,1,1,1,1,False,False,False,True,1,1,3,1,5,1,14,6,0,0,0,6,0,0,2,118,East,117
10,7,1,0,1,1,False,False,False,True,1,1,3,1,5,1,14,6,0,0,0,5,0,0,7,210,South,209
9,8,1,1,1,1,False,False,False,True,1,1,3,1,5,1,14,6,0,0,0,7,0,0,7,202,South,201
9,7,1,1,1,1,False,False,False,True,1,1,3,1,5,1,14,6,0,0,0,6,0,0,8,201,East,200
9,8,1,1,1,1,False,False,False,True,1,1,3,1,5,1,14,6,0,0,0,7,0,0,7,193,West,192
8,8,1,1,1,1,False,False,False,True,1,1,3,1,5,1,14,6,0,0,0,8,0,0,8,192,East,191
9,8,1,1,1,1,False,False,False,True,1,1,3,1,5,1,14,6,0,0,0,7,0,0,7,191,East,190
9,8,1,1,1,1,False,False,False,True,1,1,3,1,5,1,14,6,0,0,0,7,0,0,7,183,South,182
9,7,1,1,1,1,False,False,False,True,1,1,3,1,5,1,14,6,0,0,0,6,0,0,8,182,East,181
9,5,1,1,1,1,False,False,False,True,1,1,3,1,5,1,14,6,0,0,0,6,0,0,10,174,North,173
9,6,1,1,1,1,False,False,False,True,1,1,3,1,5,1,14,6,0,0,0,5,0,0,9,173,East,172
7,8,1,1,1,1,False,False,False,True,1,1,3,1,5,1,14,6,0,0,0,9,0,0,9,165,East,164
8,8,1,1,1,1,False,False,False,True,1,1,3,1,5,1,14,6,0,0,0,8,0,0,8,164,East,163
9,8,1,1,1,1,False,False,False,True,1,1,3,1,5,1,14,6,0,0,0,7,0,0,7,163,East,162
7,9,1,1,0,1,False,False,False,True,1,1,3,1,5,1,14,6,0,0,0,10,0,0,8,155,South,154
7,8,1,1,1,1,False,False,False,True,1,1,3,1,5,1,14,6,0,0,0,9,0,0,9,154,East,153
8,8,1,1,1,1,False,False,False,True,1,1,3,1,5,1,14,6,0,0,0,8,0,0,8,153,East,152
9,8,1,1,1,1,False,False,False,True,1,1,3,1,5,1,14,6,0,0,0,7,0,0,7,152,East,151
6,8,1,1,1,1,False,False,False,True,1,1,3,1,5,1,14,6,0,0,0,10,0,0,10,136,South,135
6,9,1,1,1,1,False,False,False,True,1,1,3,1,5,1,14,6,0,0,0,11,0,0,9,128,North,127
6,9,1,1,1,1,False,False,False,True,1,1,3,1,5,1,14,6,0,0,0,11,0,0,9,120,West,119
5,9,1,1,1,1,False,False,False,True,1,1,3,1,5,1,14,6,0,0,0,12,0,0,10,119,East,118
6,9,1,1,1,1,False,False,False,True,1,1,3,1,5,1,14,6,0,0,0,11,0,0,9,118,East,117
8,7,1,1,1,1,False,False,False,True,1,1,3,1,5,1,14,6,0,0,0,7,0,0,9,110,East,109
9,7,1,1,1,1,False,False,False,True,1,1,3,1,5,1,14,6,0,0,0,6,0,0,8,109,East,108
9,7,1,1,1,1,False,False,False,True,1,1,3,1,5,1,14,6,0,0,0,6,0,0,8,101,East,100
11,10,1,0,1,1,False,False,False,True,1,1,3,1,5,1,14,6,0,0,0,7,0,0,3,93,West,92
10,10,0,1,1,1,False,False,False,True,1,1,3,1,5,1,14,6,0,0,0,8,0,0,4,85,North,84
9,11,1,1,0,0,False,False,False,True,1,1,3,1,5,1,14,6,0,0,0,10,0,0,6,77,West,76
7,11,1,1,0,0,False,False,False,True,1,1,3,1,5,1,14,6,0,0,0,12,0,0,8,69,West,68
5,8,1,1,1,1,False,False,False,True,1,1,3,1,5,1,14,6,0,0,0,11,0,0,11,53,South,52
3,9,1,1,0,1,False,False,False,True,1,1,3,1,5,1,14,6,0,0,0,14,0,0,12,29,West,28
1,8,0,1,1,1,False,False,False,True,1,1,3,1,5,1,14,6,0,0,0,15,0,0,15,13,East,12
2,8,1,1,1,1,False,False,False,True,1,1,3,1,5,1,14,6,0,0,0,14,0,0,14,12,East,11
3,8,1,1,1,1,False,False,False,True,1,1,3,1,5,1,14,6,0,0,0,13,0,0,13,11,East,10
4,8,1,1,1,1,False,False,False,True,1,1,3,1,5,1,14,6,0,0,0,12,0,0,12,10,East,9
5,8,1,1,1,1,False,False,False,True,1,1,3,1,5,1,14,6,0,0,0,11,0,0,11,9,East,8
6,8,1,1,1,1,False,False,False,True,1,1,3,1,5,1,14,6,0,0,0,10,0,0,10,8,East,7
7,8,1,1,1,1,False,False,False,True,1,1,3,1,5,1,14,6,0,0,0,9,0,0,9,7,East,6
8,8,1,1,1,1,False,False,False,True,1,1,3,1,5,1,14,6,0,0,0,8,0,0,8,6,East,5
9,8,1,1,1,1,False,False,False,True,1,1,3,1,5,1,14,6,0,0,0,7,0,0,7,5,East,4
8,7,1,1,1,1,False,False,False,True,1,1,3,1,5,1,14,6,0,0,0,7,0,0,9,-3,West,-4
7,9,1,1,0,1,False,False,False,True,1,1,3,1,5,1,14,6,0,0,0,10,0,0,8,-11,East,-12
